hour_utc,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
0,0.7721,0.7574,0.7706,0.8372,0.8402,0.8513,0.9172,1.0239,,,,,,,,,,0.9061,0.8751,0.9254,0.9481,0.9757,1.0188,1.0733,1.2321,,,,,,,,,,0.9134,0.8764,0.926,0.9473,0.9632,1.0178,1.0656,1.2483,,,,,,,,,,0.8104,0.7853,0.829,0.842,0.8601,0.8566,0.9149,1.0587,,,,,,,,,,0.8359,0.8083,0.8591,0.872,0.885,0.8802,0.9174,0.9795,,,,,,,,,
1,0.7461,0.7187,0.7456,0.8143,0.8162,0.8299,0.8967,1.0043,,,,,,,,,,0.8718,0.8319,0.8945,0.9131,0.9438,0.9847,1.0182,1.1789,,,,,,,,,,0.8773,0.8341,0.895,0.9122,0.9313,0.9852,1.0116,1.1933,,,,,,,,,,0.7483,0.7308,0.7741,0.8032,0.8079,0.7682,0.8242,0.9512,,,,,,,,,,0.8043,0.7652,0.8297,0.8494,0.8596,0.8575,0.9024,0.9657,,,,,,,,,
2,0.7387,0.7029,0.7413,0.81,0.8094,0.8244,0.9008,1.0054,,,,,,,,,,0.8545,0.8111,0.8673,0.896,0.9194,0.9566,0.9882,1.142,,,,,,,,,,0.8588,0.8136,0.8682,0.8944,0.9072,0.9563,0.9806,1.1557,,,,,,,,,,0.6977,0.6857,0.7247,0.7789,0.7583,0.6892,0.7611,0.8796,,,,,,,,,,0.79,0.7445,0.82,0.8407,0.8484,0.8506,0.8978,0.9632,,,,,,,,,
3,0.7738,0.7458,0.7799,0.8564,0.8489,0.8705,0.9477,1.0328,,,,,,,,,,0.8604,0.8215,0.8686,0.9061,0.9303,0.9597,0.996,1.1603,,,,,,,,,,0.8633,0.8239,0.8697,0.9054,0.9184,0.9574,0.9857,1.1743,,,,,,,,,,0.7282,0.7026,0.7591,0.8084,0.7923,0.7279,0.7787,0.9131,,,,,,,,,,0.8108,0.7714,0.8378,0.8588,0.8673,0.8697,0.9167,0.9763,,,,,,,,,
4,0.9055,0.8905,0.913,0.9875,0.9863,1.0208,1.0628,1.117,,,,,,,,,,0.8944,0.8858,0.9268,0.96,1.0045,1.0305,1.0744,1.2549,,,,,,,,,,0.8944,0.8875,0.927,0.9582,0.9916,1.0231,1.0566,1.2688,,,,,,,,,,0.837,0.8135,0.8807,0.9157,0.9003,0.8623,0.9176,1.0475,,,,,,,,,,0.892,0.8747,0.9157,0.935,0.9405,0.9483,0.997,1.0423,,,,,,,,,
5,1.0721,1.0666,1.0695,1.1114,1.1422,1.1649,1.1869,1.1676,,,,,,,,,,0.9586,0.9629,0.9956,1.044,1.1035,1.168,1.2294,1.3428,,,,,,,,,,0.9565,0.9624,0.9939,1.0422,1.0883,1.1476,1.1996,1.3468,,,,,,,,,,1.0065,0.9742,1.0259,1.0545,1.0702,1.0888,1.1352,1.2238,,,,,,,,,,1.0079,1.0152,1.0194,1.0375,1.0589,1.0694,1.0933,1.109,,,,,,,,,
6,1.1763,1.1929,1.1878,1.1791,1.182,1.19,1.2039,1.1365,,,,,,,,,,1.0297,1.0354,1.0603,1.0961,1.1621,1.2049,1.2756,1.2394,,,,,,,,,,1.0245,1.031,1.0556,1.0928,1.1462,1.1775,1.2433,1.1987,,,,,,,,,,1.1347,1.1154,1.1486,1.1396,1.1734,1.2625,1.2872,1.2941,,,,,,,,,,1.0928,1.1004,1.1008,1.101,1.1265,1.1316,1.1267,1.1167,,,,,,,,,
7,1.1559,1.1741,1.1647,1.1165,1.1216,1.0695,1.0825,0.9819,,,,,,,,,,1.0604,1.0647,1.0697,1.0756,1.1047,1.0979,1.0803,0.9046,,,,,,,,,,1.0541,1.0586,1.0666,1.0733,1.0906,1.0803,1.0752,0.8619,,,,,,,,,,1.157,1.1506,1.1565,1.1131,1.1501,1.194,1.2031,1.0993,,,,,,,,,,1.1114,1.1178,1.11,1.079,1.1136,1.1055,1.084,1.0545,,,,,,,,,
8,1.092,1.087,1.0992,1.0175,0.9948,0.9075,0.871,0.7876,,,,,,,,,,1.0666,1.0562,1.0427,1.0114,0.9602,0.8981,0.7847,0.5706,,,,,,,,,,1.0613,1.0542,1.0416,1.0145,0.9592,0.8987,0.8079,0.5776,,,,,,,,,,1.1247,1.1187,1.1127,1.0563,1.052,1.0219,0.9498,0.8264,,,,,,,,,,1.0666,1.0589,1.07,1.0198,1.0305,1.011,0.9847,0.9414,,,,,,,,,
9,1.0408,1.0181,1.0419,0.9349,0.894,0.7729,0.7065,0.6263,,,,,,,,,,1.0601,1.0421,1.0062,0.9489,0.846,0.7428,0.5911,0.3931,,,,,,,,,,1.0563,1.0414,1.0066,0.9554,0.8738,0.7594,0.6216,0.4294,,,,,,,,,,1.0959,1.0892,1.0645,1.0268,0.9623,0.8568,0.75,0.6125,,,,,,,,,,1.0106,1.0036,1.0281,0.9813,0.9468,0.9284,0.8928,0.8411,,,,,,,,,
10,0.9913,0.9603,0.9974,0.8741,0.8147,0.6775,0.5853,0.488,,,,,,,,,,1.0513,1.0356,0.9774,0.9186,0.7939,0.6619,0.4989,0.3176,,,,,,,,,,1.0493,1.036,0.9779,0.9218,0.8245,0.6847,0.5296,0.3567,,,,,,,,,,1.0631,1.0765,1.0397,1.0117,0.9039,0.7729,0.662,0.4785,,,,,,,,,,0.9436,0.9628,0.9903,0.9478,0.8816,0.8501,0.813,0.7469,,,,,,,,,
11,0.9352,0.8779,0.9344,0.8171,0.7407,0.6043,0.5145,0.3835,,,,,,,,,,1.0429,1.0237,0.9592,0.9013,0.7607,0.6263,0.4519,0.2785,,,,,,,,,,1.0416,1.0243,0.9595,0.9046,0.7942,0.6445,0.4846,0.3177,,,,,,,,,,1.0124,1.0217,0.9822,0.9605,0.8216,0.6904,0.5817,0.3564,,,,,,,,,,0.902,0.9131,0.9563,0.9086,0.836,0.8089,0.774,0.7033,,,,,,,,,
12,0.9051,0.8265,0.896,0.794,0.7126,0.5981,0.5226,0.3884,,,,,,,,,,1.0159,0.9968,0.9367,0.8689,0.7224,0.5992,0.4236,0.2763,,,,,,,,,,1.0159,0.9978,0.9372,0.8723,0.7539,0.6153,0.4539,0.3017,,,,,,,,,,0.9583,0.95,0.9216,0.9412,0.7746,0.6325,0.5163,0.3301,,,,,,,,,,0.9199,0.8981,0.9504,0.9108,0.8381,0.8234,0.7947,0.7242,,,,,,,,,
13,0.9249,0.8626,0.9237,0.8391,0.7757,0.6839,0.6303,0.5142,,,,,,,,,,0.9788,0.9489,0.8967,0.8403,0.6924,0.5827,0.4205,0.2823,,,,,,,,,,0.9838,0.9514,0.8997,0.8432,0.7319,0.6105,0.4539,0.3077,,,,,,,,,,0.937,0.9105,0.9082,0.9274,0.8035,0.6619,0.5486,0.4184,,,,,,,,,,0.9643,0.9307,0.9754,0.9392,0.8869,0.8788,0.8489,0.7742,,,,,,,,,
14,0.9734,0.9492,0.9899,0.9193,0.8939,0.8611,0.8081,0.7143,,,,,,,,,,0.958,0.9305,0.8911,0.8328,0.7056,0.6051,0.4749,0.3208,,,,,,,,,,0.9669,0.937,0.8952,0.8369,0.7412,0.6291,0.5022,0.3342,,,,,,,,,,0.9432,0.934,0.9362,0.9403,0.8641,0.7648,0.6518,0.5265,,,,,,,,,,1.0244,0.997,1.0199,0.992,0.9543,0.9703,0.9456,0.8727,,,,,,,,,
15,1.0838,1.1067,1.1178,1.0711,1.0617,1.1057,1.0732,0.9851,,,,,,,,,,0.9694,0.9609,0.9452,0.8761,0.7961,0.7343,0.6319,0.4026,,,,,,,,,,0.9756,0.9662,0.9471,0.8774,0.8187,0.7477,0.6495,0.4149,,,,,,,,,,1.0143,1.0275,1.0247,1.0201,0.992,0.9238,0.846,0.684,,,,,,,,,,1.0812,1.0884,1.0705,1.0558,1.0415,1.0654,1.0609,1.0154,,,,,,,,,
16,1.2255,1.3113,1.2771,1.2462,1.2757,1.4067,1.3794,1.2847,,,,,,,,,,1.0079,1.0327,1.0329,0.9737,0.9571,0.9409,0.9031,0.6103,,,,,,,,,,1.0092,1.0327,1.0327,0.9735,0.9629,0.9385,0.911,0.6126,,,,,,,,,,1.1538,1.196,1.1666,1.1443,1.1958,1.2,1.1599,1.0233,,,,,,,,,,1.173,1.2198,1.1492,1.1515,1.1565,1.1829,1.1666,1.1499,,,,,,,,,
17,1.3174,1.4441,1.3402,1.3545,1.4525,1.6145,1.5787,1.5414,,,,,,,,,,1.063,1.12,1.1264,1.1094,1.174,1.2047,1.2701,1.1251,,,,,,,,,,1.0591,1.1169,1.1252,1.1072,1.1562,1.1992,1.2649,1.0846,,,,,,,,,,1.2549,1.3513,1.2727,1.2507,1.3582,1.4914,1.531,1.5252,,,,,,,,,,1.2614,1.3396,1.2175,1.2487,1.3008,1.3253,1.2649,1.2564,,,,,,,,,
18,1.2799,1.3655,1.2612,1.3122,1.3938,1.5878,1.5373,1.6459,,,,,,,,,,1.1092,1.1858,1.1846,1.2385,1.3689,1.4283,1.6149,1.7303,,,,,,,,,,1.1045,1.1819,1.1834,1.2355,1.349,1.4127,1.5933,1.6465,,,,,,,,,,1.2311,1.2996,1.2472,1.2366,1.3619,1.5253,1.6225,1.7538,,,,,,,,,,1.2736,1.334,1.1886,1.2406,1.3131,1.3272,1.2891,1.2897,,,,,,,,,
19,1.1608,1.1902,1.1297,1.1945,1.2454,1.3191,1.3475,1.5005,,,,,,,,,,1.1317,1.2032,1.189,1.2729,1.4044,1.5666,1.7713,2.0048,,,,,,,,,,1.1274,1.1996,1.1886,1.2702,1.3849,1.5552,1.7396,1.941,,,,,,,,,,1.1406,1.1632,1.1436,1.1447,1.254,1.4086,1.5049,1.6281,,,,,,,,,,1.188,1.2048,1.1014,1.1411,1.183,1.1876,1.1799,1.2163,,,,,,,,,
20,1.0661,1.0817,1.0279,1.1062,1.1294,1.1483,1.1921,1.3233,,,,,,,,,,1.0931,1.1571,1.1361,1.2047,1.3159,1.4297,1.5968,1.8758,,,,,,,,,,1.0897,1.1552,1.1355,1.2022,1.2976,1.4193,1.5725,1.8403,,,,,,,,,,1.093,1.0785,1.0677,1.0668,1.1592,1.3414,1.4276,1.5334,,,,,,,,,,1.07,1.0885,1.0152,1.0531,1.0598,1.0611,1.0864,1.1472,,,,,,,,,
21,0.9764,0.9834,0.9357,1.0077,1.034,1.0355,1.087,1.192,,,,,,,,,,1.0384,1.0688,1.064,1.1015,1.1978,1.2844,1.3924,1.6034,,,,,,,,,,1.0358,1.0676,1.0626,1.0995,1.1825,1.2758,1.378,1.5989,,,,,,,,,,1.0322,1.0283,1.0044,1.0114,1.0771,1.2482,1.3032,1.4203,,,,,,,,,,0.9616,0.9734,0.9505,0.9902,0.9941,0.9941,1.0255,1.0687,,,,,,,,,
22,0.874,0.879,0.8442,0.9271,0.951,0.9563,1.0087,1.109,,,,,,,,,,1.0153,1.0094,1.0209,1.0566,1.121,1.1828,1.2811,1.4413,,,,,,,,,,1.0143,1.0089,1.0216,1.0551,1.1062,1.1773,1.2685,1.456,,,,,,,,,,0.9486,0.9524,0.9338,0.933,0.9988,1.0767,1.1322,1.2635,,,,,,,,,,0.9255,0.9238,0.9243,0.9389,0.9563,0.9548,0.9868,1.0396,,,,,,,,,
23,0.813,0.8075,0.8111,0.8721,0.8831,0.8994,0.9592,1.0599,,,,,,,,,,0.9624,0.94,0.9829,1.0053,1.0393,1.0911,1.1575,1.3281,,,,,,,,,,0.9671,0.9414,0.9837,1.0047,1.0263,1.0869,1.1509,1.3442,,,,,,,,,,0.8771,0.8444,0.8754,0.8729,0.9083,0.9339,0.9906,1.1677,,,,,,,,,,0.889,0.8659,0.8998,0.9074,0.9209,0.9179,0.9508,1.0113,,,,,,,,,
