year,Germany_neg,Spain_neg,Portugal_neg,France_neg,Italy_neg,Germany_nearneg,Spain_nearneg,Portugal_nearneg,France_nearneg,Italy_nearneg
2019,211.0,0.0,0.0,27.0,0.0,272.0,10.0,17.0,38.0,0.0
2020,298.0,0.0,0.0,102.0,0.0,435.0,0.0,0.0,151.0,11.0
2021,139.0,0.0,0.0,64.0,0.0,204.0,40.0,44.0,114.0,0.0
2022,70.0,0.0,0.0,4.0,0.0,125.0,19.0,23.0,26.0,0.0
2023,300.0,0.0,0.0,147.0,0.0,425.0,171.0,122.0,271.0,0.0
2024,457.0,247.0,196.0,352.0,0.0,628.0,1064.0,1012.0,739.0,4.0
2025,576.0,556.0,200.0,513.0,0.0,749.0,1048.0,646.0,853.0,13.0
2026,355.0,666.0,528.0,461.0,0.0,409.0,1090.0,1034.0,673.0,24.0
2027,,,,,,,,,,
2028,,,,,,,,,,
2029,,,,,,,,,,
2030,,,,,,,,,,
2031,,,,,,,,,,
2032,,,,,,,,,,
2033,,,,,,,,,,
2034,,,,,,,,,,
2035,,,,,,,,,,
