date,DE_Solar,DE_Wind
2019-01-01,19.69,-20.85
2019-02-01,-1.62,-10.23
2019-03-01,0.61,-19.29
2019-04-01,-14.19,-7.8
2019-05-01,-6.76,-5.07
2019-06-01,-10.55,-25.18
2019-07-01,-1.41,-7.89
2019-08-01,-8.32,-16.7
2019-09-01,-6.49,-13.56
2019-10-01,2.47,-12.6
2019-11-01,6.88,-9.54
2019-12-01,15.59,-17.02
2020-01-01,9.54,-11.17
2020-02-01,5.86,-19.88
2020-03-01,-28.02,-18.1
2020-04-01,-47.49,-34.53
2020-05-01,-19.84,-25.69
2020-06-01,-5.81,-14.92
2020-07-01,-12.82,-27.52
2020-08-01,-4.89,-13.63
2020-09-01,-8.98,-12.87
2020-10-01,-3.83,-11.49
2020-11-01,3.01,-17.02
2020-12-01,10.41,-22.29
2021-01-01,4.97,-11.61
2021-02-01,-7.85,-9.66
2021-03-01,-13.07,-25.67
2021-04-01,-15.27,-16.05
2021-05-01,-21.43,-18.95
2021-06-01,-7.49,-13.43
2021-07-01,-8.87,-14.57
2021-08-01,-7.26,-10.98
2021-09-01,-8.8,-7.86
2021-10-01,-8.24,-19.74
2021-11-01,3.73,-19.01
2021-12-01,22.76,-25.11
2022-01-01,6.22,-21.05
2022-02-01,-7.79,-14.03
2022-03-01,-17.73,-18.31
2022-04-01,-12.27,-20.88
2022-05-01,-14.73,-20.89
2022-06-01,-13.13,-8.83
2022-07-01,-17.32,-10.11
2022-08-01,-14.28,-0.71
2022-09-01,-8.23,-16.97
2022-10-01,-15.69,-15.23
2022-11-01,-11.89,-20.09
2022-12-01,-0.82,-39.18
2023-01-01,4.34,-23.66
2023-02-01,-3.91,-16.2
2023-03-01,-13.21,-14.87
2023-04-01,-20.36,-9.41
2023-05-01,-33.82,1.0
2023-06-01,-24.73,-1.67
2023-07-01,-32.29,-19.9
2023-08-01,-19.87,-26.52
2023-09-01,-25.89,-12.2
2023-10-01,-22.49,-19.19
2023-11-01,-6.57,-15.15
2023-12-01,-3.75,-32.12
2024-01-01,-1.82,-14.21
2024-02-01,-4.21,-11.8
2024-03-01,-23.46,-13.24
2024-04-01,-37.89,-18.84
2024-05-01,-51.28,-10.65
2024-06-01,-38.98,-17.89
2024-07-01,-47.1,-20.38
2024-08-01,-47.42,-18.27
2024-09-01,-42.13,-17.0
2024-10-01,-21.92,-18.63
2024-11-01,-11.7,-20.02
2024-12-01,3.1,-32.2
2025-01-01,1.09,-23.67
2025-02-01,-13.71,-9.6
2025-03-01,-46.36,-15.35
2025-04-01,-59.78,-0.45
2025-05-01,-67.82,-2.63
2025-06-01,-68.67,-10.99
2025-07-01,-31.85,-5.49
2025-08-01,-49.23,-8.19
2025-09-01,-46.98,-20.7
2025-10-01,-14.97,-30.22
2025-11-01,-9.69,-12.08
2025-12-01,1.15,-10.31
2026-01-01,1.01,-11.92
2026-02-01,-18.46,-8.81
2026-03-01,-42.19,-19.73
2026-04-01,-74.16,-8.87
2026-05-01,-60.96,3.99
2026-06-01,-41.0,-19.73
2026-07-01,,
2026-08-01,,
2026-09-01,,
2026-10-01,,
2026-11-01,,
2026-12-01,,
2027-01-01,,
2027-02-01,,
2027-03-01,,
2027-04-01,,
2027-05-01,,
2027-06-01,,
2027-07-01,,
2027-08-01,,
2027-09-01,,
2027-10-01,,
2027-11-01,,
2027-12-01,,
2028-01-01,,
2028-02-01,,
2028-03-01,,
2028-04-01,,
2028-05-01,,
2028-06-01,,
2028-07-01,,
2028-08-01,,
2028-09-01,,
2028-10-01,,
2028-11-01,,
2028-12-01,,
2029-01-01,,
2029-02-01,,
2029-03-01,,
2029-04-01,,
2029-05-01,,
2029-06-01,,
2029-07-01,,
2029-08-01,,
2029-09-01,,
2029-10-01,,
2029-11-01,,
2029-12-01,,
2030-01-01,,
2030-02-01,,
2030-03-01,,
2030-04-01,,
2030-05-01,,
2030-06-01,,
2030-07-01,,
2030-08-01,,
2030-09-01,,
2030-10-01,,
2030-11-01,,
2030-12-01,,
