country,year,sd,mean,cv
DE,2019,15.517,37.668,0.4119
DE,2020,17.502,30.472,0.5744
DE,2021,73.681,96.85,0.7608
DE,2022,142.819,235.44,0.6066
DE,2023,47.583,95.176,0.4999
DE,2024,52.726,78.512,0.6716
DE,2025,52.094,89.328,0.5832
DE,2026,60.339,99.108,0.6088
ES,2019,10.88,47.678,0.2282
ES,2020,11.415,33.959,0.3361
ES,2021,74.711,111.945,0.6674
ES,2022,69.464,167.505,0.4147
ES,2023,41.344,87.106,0.4746
ES,2024,45.935,63.049,0.7286
ES,2025,47.613,65.285,0.7293
ES,2026,49.768,53.651,0.9276
FR,2019,14.022,39.448,0.3554
FR,2020,16.108,32.204,0.5002
FR,2021,84.314,109.176,0.7723
FR,2022,145.842,275.868,0.5287
FR,2023,45.532,96.856,0.4701
FR,2024,40.658,58.019,0.7008
FR,2025,46.377,61.081,0.7593
FR,2026,54.885,64.466,0.8514
IT,2019,12.67,52.328,0.2421
IT,2020,14.629,38.902,0.376
IT,2021,81.079,125.473,0.6462
IT,2022,133.153,303.953,0.4381
IT,2023,35.593,127.213,0.2798
IT,2024,29.662,108.524,0.2733
IT,2025,29.687,115.917,0.2561
IT,2026,35.459,128.507,0.2759
PT,2019,10.813,47.866,0.2259
PT,2020,11.264,33.986,0.3314
PT,2021,74.704,112.021,0.6669
PT,2022,69.127,167.874,0.4118
PT,2023,39.932,88.278,0.4523
PT,2024,45.572,63.46,0.7181
PT,2025,46.439,66.184,0.7017
PT,2026,49.596,52.894,0.9376
